GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGU001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Total
"G2101330","1860","Kentucky","210","Letcher","1330","Letcher",108
"G2101350","1860","Kentucky","210","Lewis","1350","Lewis",230
"G2101370","1860","Kentucky","210","Lincoln","1370","Lincoln",3430
"G2101390","1860","Kentucky","210","Livingston","1390","Livingston",1222
"G2101410","1860","Kentucky","210","Logan","1410","Logan",6356
"G2101430","1860","Kentucky","210","Lyon","1430","Lyon",1094
"G2101450","1860","Kentucky","210","McCracken","1450","Mccracken",1738
"G2101490","1860","Kentucky","210","McLean","1490","Mclean",888
"G2101510","1860","Kentucky","210","Madison","1510","Madison",6034
"G2101530","1860","Kentucky","210","Magoffin","1530","Magoffin",71
"G2101550","1860","Kentucky","210","Marion","1550","Marion",3479
"G2101570","1860","Kentucky","210","Marshall","1570","Marshall",351
"G2101610","1860","Kentucky","210","Mason","1610","Mason",3772
"G2101630","1860","Kentucky","210","Meade","1630","Meade",1932
"G2101670","1860","Kentucky","210","Mercer","1670","Mercer",3274
"G2101690","1860","Kentucky","210","Metcalfe","1690","Metcalfe",781
"G2101710","1860","Kentucky","210","Monroe","1710","Monroe",922
"G2101730","1860","Kentucky","210","Montgomery","1730","Montgomery",2752
"G2101750","1860","Kentucky","210","Morgan","1750","Morgan",170
"G2101770","1860","Kentucky","210","Muhlenberg","1770","Muhlenberg",1584
"G2101790","1860","Kentucky","210","Nelson","1790","Nelson",5530
"G2101810","1860","Kentucky","210","Nicholas","1810","Nicholas",1614
"G2101830","1860","Kentucky","210","Ohio","1830","Ohio",1292
"G2101850","1860","Kentucky","210","Oldham","1850","Oldham",2431
"G2101870","1860","Kentucky","210","Owen","1870","Owen",1660
"G2101890","1860","Kentucky","210","Owsley","1890","Owsley",112
"G2101910","1860","Kentucky","210","Pendleton","1910","Pendleton",424
"G2101930","1860","Kentucky","210","Perry","1930","Perry",73
"G2101950","1860","Kentucky","210","Pike","1950","Pike",97
"G2101970","1860","Kentucky","210","Powell","1970","Powell",125
"G2101990","1860","Kentucky","210","Pulaski","1990","Pulaski",1330
"G2102030","1860","Kentucky","210","Rockcastle","2030","Rockcastle",357
"G2102050","1860","Kentucky","210","Rowan","2050","Rowan",142
"G2102070","1860","Kentucky","210","Russell","2070","Russell",559
"G2102090","1860","Kentucky","210","Scott","2090","Scott",5744
"G2102110","1860","Kentucky","210","Shelby","2110","Shelby",6634
"G2102130","1860","Kentucky","210","Simpson","2130","Simpson",2307
"G2102150","1860","Kentucky","210","Spencer","2150","Spencer",2205
"G2102170","1860","Kentucky","210","Taylor","2170","Taylor",1597
"G2102190","1860","Kentucky","210","Todd","2190","Todd",4849
"G2102210","1860","Kentucky","210","Trigg","2210","Trigg",3448
"G2102230","1860","Kentucky","210","Trimble","2230","Trimble",831
"G2102250","1860","Kentucky","210","Union","2250","Union",3105
"G2102270","1860","Kentucky","210","Warren","2270","Warren",5318
"G2102290","1860","Kentucky","210","Washington","2290","Washington",2822
"G2102310","1860","Kentucky","210","Wayne","2310","Wayne",987
"G2102330","1860","Kentucky","210","Webster","2330","Webster",1083
"G2102350","1860","Kentucky","210","Whitley","2350","Whitley",183
"G2102390","1860","Kentucky","210","Woodford","2390","Woodford",5829
"G2200050","1860","Louisiana","220","Ascension","0050","Ascension",7376
"G2200070","1860","Louisiana","220","Assumption","0070","Assumption",8096
"G2200090","1860","Louisiana","220","Avoyelles","0090","Avoyelles",7185
"G2200130","1860","Louisiana","220","Bienville","0130","Bienville",5000
"G2200150","1860","Louisiana","220","Bossier","0150","Bossier",8000
"G2200170","1860","Louisiana","220","Caddo","0170","Caddo",7338
"G2200190","1860","Louisiana","220","Calcasieu","0190","Calcasieu",1171
"G2200210","1860","Louisiana","220","Caldwell","0210","Caldwell",1945
"G2200235","1860","Louisiana","220","Carroll","0235","Carroll",13908
"G2200250","1860","Louisiana","220","Catahoula","0250","Catahoula",6113
"G2200270","1860","Louisiana","220","Claiborne","0270","Claiborne",7848
"G2200290","1860","Louisiana","220","Concordia","0290","Concordia",12542
"G2200310","1860","Louisiana","220","De Soto","0310","De Soto",8507
"G2200330","1860","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",8570
"G2200370","1860","Louisiana","220","East Feliciana","0370","East Feliciana",10593
"G2200410","1860","Louisiana","220","Franklin","0410","Franklin",3402
"G2200470","1860","Louisiana","220","Iberville","0470","Iberville",10680
"G2200490","1860","Louisiana","220","Jackson","0490","Jackson",4098
"G2200510","1860","Louisiana","220","Jefferson","0510","Jefferson",5120
"G2200550","1860","Louisiana","220","Lafayette","0550","Lafayette",4463
"G2200570","1860","Louisiana","220","Lafourche","0570","Lafourche",6395
"G2200630","1860","Louisiana","220","Livingston","0630","Livingston",1311
"G2200650","1860","Louisiana","220","Madison","0650","Madison",12477
"G2200670","1860","Louisiana","220","Morehouse","0670","Morehouse",6569
"G2200690","1860","Louisiana","220","Natchitoches","0690","Natchitoches",9434
"G2200710","1860","Louisiana","220","Orleans","0710","Orleans",14484
"G2200730","1860","Louisiana","220","Ouachita","0730","Ouachita",2840
"G2200750","1860","Louisiana","220","Plaquemines","0750","Plaquemines",5385
"G2200770","1860","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",12903
"G2200790","1860","Louisiana","220","Rapides","0790","Rapides",15358
"G2200850","1860","Louisiana","220","Sabine","0850","Sabine",1713
"G2200870","1860","Louisiana","220","St Bernard","0870","St Bernard",2240
"G2200890","1860","Louisiana","220","St Charles","0890","St Charles",4182
"G2200910","1860","Louisiana","220","St Helena","0910","St Helena",3711
"G2200930","1860","Louisiana","220","St James","0930","St James",8090
"G2200950","1860","Louisiana","220","St John The Baptist","0950","St John The Baptist",4594
"G2200970","1860","Louisiana","220","St Landry","0970","St Landry",11436
"G2200990","1860","Louisiana","220","St Martin","0990","St Martin",7358
"G2201010","1860","Louisiana","220","St Mary","1010","St Mary",13057
"G2201030","1860","Louisiana","220","St Tammany","1030","St Tammany",1841
"G2201070","1860","Louisiana","220","Tensas","1070","Tensas",14592
"G2201090","1860","Louisiana","220","Terrebonne","1090","Terrebonne",6785
"G2201110","1860","Louisiana","220","Union","1110","Union",3745
"G2201130","1860","Louisiana","220","Vermilion","1130","Vermillion",1316
"G2201170","1860","Louisiana","220","Washington","1170","Washington",1690
"G2201210","1860","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",5340
"G2201250","1860","Louisiana","220","West Feliciana","1250","West Feliciana",9571
"G2201270","1860","Louisiana","220","Winn","1270","Winn",1354
"G2300010","1860","Maine","230","Androscoggin","0010","Androscoggin",
"G2300030","1860","Maine","230","Aroostook","0030","Aroostook",
"G2300050","1860","Maine","230","Cumberland","0050","Cumberland",
"G2300070","1860","Maine","230","Franklin","0070","Franklin",
"G2300090","1860","Maine","230","Hancock","0090","Hancock",
"G2300110","1860","Maine","230","Kennebec","0110","Kennebec",
"G2300130","1860","Maine","230","Knox","0130","Knox",
"G2300150","1860","Maine","230","Lincoln","0150","Lincoln",
"G2300170","1860","Maine","230","Oxford","0170","Oxford",
"G2300190","1860","Maine","230","Penobscot","0190","Penobscot",
"G2300210","1860","Maine","230","Piscataquis","0210","Piscataquis",
"G2300230","1860","Maine","230","Sagadahoc","0230","Sagadahoc",
"G2300250","1860","Maine","230","Somerset","0250","Somerset",
"G2300270","1860","Maine","230","Waldo","0270","Waldo",
"G2300290","1860","Maine","230","Washington","0290","Washington",
"G2300310","1860","Maine","230","York","0310","York",
"G2400010","1860","Maryland","240","Allegany","0010","Allegany",666
"G2400030","1860","Maryland","240","Anne Arundel","0030","Anne Arundel",7332
"G2400050","1860","Maryland","240","Baltimore","0050","Baltimore",5400
"G2400090","1860","Maryland","240","Calvert","0090","Calvert",4609
"G2400110","1860","Maryland","240","Caroline","0110","Caroline",739
"G2400130","1860","Maryland","240","Carroll","0130","Carroll",783
"G2400150","1860","Maryland","240","Cecil","0150","Cecil",950
"G2400170","1860","Maryland","240","Charles","0170","Charles",9653
"G2400190","1860","Maryland","240","Dorchester","0190","Dorchester",4123
"G2400210","1860","Maryland","240","Frederick","0210","Frederick",3243
"G2400250","1860","Maryland","240","Harford","0250","Harford",1800
"G2400270","1860","Maryland","240","Howard","0270","Howard",2862
"G2400290","1860","Maryland","240","Kent","0290","Kent",2509
"G2400310","1860","Maryland","240","Montgomery","0310","Montgomery",5421
"G2400330","1860","Maryland","240","Prince Georges","0330","Prince Georges",12479
"G2400350","1860","Maryland","240","Queen Anne's","0350","Queen Anne's",4174
"G2400370","1860","Maryland","240","St Mary's","0370","St Mary's",6549
"G2400390","1860","Maryland","240","Somerset","0390","Somerset",5089
"G2400410","1860","Maryland","240","Talbot","0410","Talbot",3725
"G2400430","1860","Maryland","240","Washington","0430","Washington",1435
"G2400470","1860","Maryland","240","Worcester","0470","Worcester",3648
"G2500010","1860","Massachusetts","250","Barnstable","0010","Barnstable",
"G2500030","1860","Massachusetts","250","Berkshire","0030","Berkshire",
"G2500050","1860","Massachusetts","250","Bristol","0050","Bristol",
"G2500070","1860","Massachusetts","250","Dukes","0070","Dukes",
"G2500090","1860","Massachusetts","250","Essex","0090","Essex",
"G2500110","1860","Massachusetts","250","Franklin","0110","Franklin",
"G2500130","1860","Massachusetts","250","Hampden","0130","Hampden",
"G2500150","1860","Massachusetts","250","Hampshire","0150","Hampshire",
"G2500170","1860","Massachusetts","250","Middlesex","0170","Middlesex",
"G2500190","1860","Massachusetts","250","Nantucket","0190","Nantucket",
"G2500210","1860","Massachusetts","250","Norfolk","0210","Norfolk",
"G2500230","1860","Massachusetts","250","Plymouth","0230","Plymouth",
"G2500250","1860","Massachusetts","250","Suffolk","0250","Suffolk",
"G2500270","1860","Massachusetts","250","Worcester","0270","Worcester",
"G2600010","1860","Michigan","260","Alcona","0010","Alcona",
"G2600050","1860","Michigan","260","Allegan","0050","Allegan",
"G2600070","1860","Michigan","260","Alpena","0070","Alpena",
"G2600090","1860","Michigan","260","Antrim","0090","Antrim",
"G2600150","1860","Michigan","260","Barry","0150","Barry",
"G2600170","1860","Michigan","260","Bay","0170","Bay",
"G2600210","1860","Michigan","260","Berrien","0210","Berrien",
"G2600230","1860","Michigan","260","Branch","0230","Branch",
"G2600250","1860","Michigan","260","Calhoun","0250","Calhoun",
"G2600270","1860","Michigan","260","Cass","0270","Cass",
"G2600310","1860","Michigan","260","Cheboygan","0310","Cheboygan",
"G2600330","1860","Michigan","260","Chippewa","0330","Chippewa",
"G2600370","1860","Michigan","260","Clinton","0370","Clinton",
"G2600410","1860","Michigan","260","Delta","0410","Delta",
"G2600450","1860","Michigan","260","Eaton","0450","Eaton",
"G2600470","1860","Michigan","260","Emmet","0470","Emmet",
"G2600490","1860","Michigan","260","Genesee","0490","Genesee",
"G2600510","1860","Michigan","260","Gladwin","0510","Gladwin",
"G2600550","1860","Michigan","260","Grand Traverse","0550","Grand Traverse",
"G2600570","1860","Michigan","260","Gratiot","0570","Gratiot",
"G2600590","1860","Michigan","260","Hillsdale","0590","Hillsdale",
"G2600610","1860","Michigan","260","Houghton","0610","Houghton",
"G2600630","1860","Michigan","260","Huron","0630","Huron",
"G2600650","1860","Michigan","260","Ingham","0650","Ingham",
"G2600670","1860","Michigan","260","Ionia","0670","Ionia",
"G2600690","1860","Michigan","260","Iosco","0690","Iosco",
"G2600730","1860","Michigan","260","Isabella","0730","Isabella",
"G2600750","1860","Michigan","260","Jackson","0750","Jackson",
"G2600770","1860","Michigan","260","Kalamazoo","0770","Kalamazoo",
"G2600810","1860","Michigan","260","Kent","0810","Kent",
"G2600870","1860","Michigan","260","Lapeer","0870","Lapeer",
"G2600890","1860","Michigan","260","Leelanau","0890","Leelanau",
"G2600910","1860","Michigan","260","Lenawee","0910","Lenawee",
"G2600930","1860","Michigan","260","Livingston","0930","Livingston",
"G2600990","1860","Michigan","260","Macomb","0990","Macomb",
"G2601010","1860","Michigan","260","Manistee","1010","Manistee",
"G2601015","1860","Michigan","260","Manitou","1015","Manitou",
"G2601030","1860","Michigan","260","Marquette","1030","Marquette",
"G2601050","1860","Michigan","260","Mason","1050","Mason",
"G2601070","1860","Michigan","260","Mecosta","1070","Mecosta",
"G2601095","1860","Michigan","260","Michilimackinac","1095","Michilimackinac",
"G2601110","1860","Michigan","260","Midland","1110","Midland",
"G2601150","1860","Michigan","260","Monroe","1150","Monroe",
"G2601170","1860","Michigan","260","Montcalm","1170","Montcalm",
"G2601210","1860","Michigan","260","Muskegon","1210","Muskegon",
"G2601230","1860","Michigan","260","Newaygo","1230","Newaygo",
"G2601250","1860","Michigan","260","Oakland","1250","Oakland",
"G2601270","1860","Michigan","260","Oceana","1270","Oceana",
"G2601310","1860","Michigan","260","Ontonagon","1310","Ontonagon",
"G2601330","1860","Michigan","260","Osceola","1330","Osceola",
"G2601390","1860","Michigan","260","Ottawa","1390","Ottawa",
"G2601410","1860","Michigan","260","Presque Isle","1410","Presque Isle",
"G2601450","1860","Michigan","260","Saginaw","1450","Saginaw",
"G2601470","1860","Michigan","260","St Clair","1470","St Clair",
"G2601490","1860","Michigan","260","St Joseph","1490","St Joseph",
"G2601510","1860","Michigan","260","Sanilac","1510","Sanilac",
"G2601530","1860","Michigan","260","Schoolcraft","1530","Schoolcraft",
"G2601550","1860","Michigan","260","Shiawassee","1550","Shiawassee",
"G2601570","1860","Michigan","260","Tuscola","1570","Tuscola",
"G2601590","1860","Michigan","260","Van Buren","1590","Van Buren",
"G2601610","1860","Michigan","260","Washtenaw","1610","Washtenaw",
"G2601630","1860","Michigan","260","Wayne","1630","Wayne",
"G2700010","1860","Minnesota","270","Aitkin","0010","Aitkin",
"G2700030","1860","Minnesota","270","Anoka","0030","Anoka",
"G2700050","1860","Minnesota","270","Becker","0050","Becker",
"G2700090","1860","Minnesota","270","Benton","0090","Benton",
"G2700130","1860","Minnesota","270","Blue Earth","0130","Blue Earth",
"G2700135","1860","Minnesota","270","Breckinridge","0135","Breckinridge",
"G2700150","1860","Minnesota","270","Brown","0150","Brown",
"G2700155","1860","Minnesota","270","Buchanan","0155","Buchanan",
"G2700170","1860","Minnesota","270","Carlton","0170","Carlton",
"G2700190","1860","Minnesota","270","Carver","0190","Carver",
"G2700210","1860","Minnesota","270","Cass","0210","Cass",
"G2700250","1860","Minnesota","270","Chisago","0250","Chisago",
"G2700330","1860","Minnesota","270","Cottonwood","0330","Cottonwood",
"G2700350","1860","Minnesota","270","Crow Wing","0350","Crow Wing",
"G2700370","1860","Minnesota","270","Dakota","0370","Dakota",
"G2700390","1860","Minnesota","270","Dodge","0390","Dodge",
"G2700410","1860","Minnesota","270","Douglas","0410","Douglas",
"G2700430","1860","Minnesota","270","Faribault","0430","Faribault",
"G2700450","1860","Minnesota","270","Fillmore","0450","Fillmore",
"G2700470","1860","Minnesota","270","Freeborn","0470","Freeborn",
"G2700490","1860","Minnesota","270","Goodhue","0490","Goodhue",
"G2700530","1860","Minnesota","270","Hennepin","0530","Hennepin",
"G2700550","1860","Minnesota","270","Houston","0550","Houston",
"G2700590","1860","Minnesota","270","Isanti","0590","Isanti",
"G2700610","1860","Minnesota","270","Itasca","0610","Itasca",
"G2700630","1860","Minnesota","270","Jackson","0630","Jackson",
"G2700650","1860","Minnesota","270","Kanabec","0650","Kanabec",
"G2700670","1860","Minnesota","270","Kandiyohi","0670","Kandiyohi",
"G2700750","1860","Minnesota","270","Lake","0750","Lake",
"G2700790","1860","Minnesota","270","Le Sueur","0790","Le Sueur",
"G2700850","1860","Minnesota","270","McLeod","0850","Mcleod",
"G2700877","1860","Minnesota","270","Manomin","0877","Manomin",
"G2700910","1860","Minnesota","270","Martin","0910","Martin",
"G2700930","1860","Minnesota","270","Meeker","0930","Meeker",
"G2700950","1860","Minnesota","270","Mille Lacs","0950","Mille Lacs",
"G2700955","1860","Minnesota","270","Monongalia","0955","Monongalia",
"G2700970","1860","Minnesota","270","Morrison","0970","Morrison",
"G2700990","1860","Minnesota","270","Mower","0990","Mower",
"G2701010","1860","Minnesota","270","Murray","1010","Murray",
"G2701030","1860","Minnesota","270","Nicollet","1030","Nicollet",
"G2701050","1860","Minnesota","270","Nobles","1050","Nobles",
"G2701090","1860","Minnesota","270","Olmsted","1090","Olmsted",
"G2701110","1860","Minnesota","270","Otter Tail","1110","Otter Tail",
"G2701115","1860","Minnesota","270","Pembina","1115","Pembina",
"G2701135","1860","Minnesota","270","Pierce","1135","Pierce",
"G2701150","1860","Minnesota","270","Pine","1150","Pine",
"G2701175","1860","Minnesota","270","Pipestone (old)","1175","Pipestone (old)",
"G2701190","1860","Minnesota","270","Polk","1190","Polk",
"G2701230","1860","Minnesota","270","Ramsey","1230","Ramsey",
"G2701290","1860","Minnesota","270","Renville","1290","Renville",
"G2701310","1860","Minnesota","270","Rice","1310","Rice",
"G2701370","1860","Minnesota","270","St Louis","1370","St Louis",
"G2701390","1860","Minnesota","270","Scott","1390","Scott",
"G2701410","1860","Minnesota","270","Sherburne","1410","Sherburne",
"G2701430","1860","Minnesota","270","Sibley","1430","Sibley",
"G2701450","1860","Minnesota","270","Stearns","1450","Stearns",
"G2701470","1860","Minnesota","270","Steele","1470","Steele",
"G2701530","1860","Minnesota","270","Todd","1530","Todd",
"G2701535","1860","Minnesota","270","Toombs","1535","Toombs",
"G2701570","1860","Minnesota","270","Wabasha","1570","Wabasha",
"G2701610","1860","Minnesota","270","Waseca","1610","Waseca",
"G2701630","1860","Minnesota","270","Washington","1630","Washington",
"G2701690","1860","Minnesota","270","Winona","1690","Winona",
"G2701710","1860","Minnesota","270","Wright","1710","Wright",
"G2800010","1860","Mississippi","280","Adams","0010","Adams",14292
"G2800050","1860","Mississippi","280","Amite","0050","Amite",7900
"G2800070","1860","Mississippi","280","Attala","0070","Attala",5015
"G2800110","1860","Mississippi","280","Bolivar","0110","Bolivar",9078
"G2800130","1860","Mississippi","280","Calhoun","0130","Calhoun",1823
"G2800150","1860","Mississippi","280","Carroll","0150","Carroll",13808
"G2800170","1860","Mississippi","280","Chickasaw","0170","Chickasaw",9087
"G2800190","1860","Mississippi","280","Choctaw","0190","Choctaw",4197
"G2800210","1860","Mississippi","280","Claiborne","0210","Claiborne",12296
"G2800230","1860","Mississippi","280","Clarke","0230","Clarke",5076
"G2800270","1860","Mississippi","280","Coahoma","0270","Coahoma",5085
"G2800290","1860","Mississippi","280","Copiah","0290","Copiah",7965
"G2800310","1860","Mississippi","280","Covington","0310","Covington",1563
"G2800330","1860","Mississippi","280","DeSoto","0330","De Soto",13987
"G2800370","1860","Mississippi","280","Franklin","0370","Franklin",4752
"G2800410","1860","Mississippi","280","Greene","0410","Greene",705
"G2800450","1860","Mississippi","280","Hancock","0450","Hancock",857
"G2800470","1860","Mississippi","280","Harrison","0470","Harrison",1015
"G2800490","1860","Mississippi","280","Hinds","0490","Hinds",22363
"G2800510","1860","Mississippi","280","Holmes","0510","Holmes",11975
"G2800550","1860","Mississippi","280","Issaquena","0550","Issaquena",7244
"G2800570","1860","Mississippi","280","Itawamba","0570","Itawamba",3528
"G2800590","1860","Mississippi","280","Jackson","0590","Jackson",1087
"G2800610","1860","Mississippi","280","Jasper","0610","Jasper",4549
"G2800630","1860","Mississippi","280","Jefferson","0630","Jefferson",12396
"G2800670","1860","Mississippi","280","Jones","0670","Jones",407
"G2800690","1860","Mississippi","280","Kemper","0690","Kemper",5741
"G2800710","1860","Mississippi","280","Lafayette","0710","Lafayette",7129
"G2800750","1860","Mississippi","280","Lauderdale","0750","Lauderdale",5088
"G2800770","1860","Mississippi","280","Lawrence","0770","Lawrence",3696
"G2800790","1860","Mississippi","280","Leake","0790","Leake",3056
"G2800870","1860","Mississippi","280","Lowndes","0870","Lowndes",16730
"G2800890","1860","Mississippi","280","Madison","0890","Madison",18118
"G2800910","1860","Mississippi","280","Marion","0910","Marion",2185
"G2800930","1860","Mississippi","280","Marshall","0930","Marshall",17439
"G2800950","1860","Mississippi","280","Monroe","0950","Monroe",12729
"G2800990","1860","Mississippi","280","Neshoba","0990","Neshoba",2212
"G2801010","1860","Mississippi","280","Newton","1010","Newton",3379
"G2801030","1860","Mississippi","280","Noxubee","1030","Noxubee",15496
"G2801050","1860","Mississippi","280","Oktibbeha","1050","Oktibbeha",7631
"G2801070","1860","Mississippi","280","Panola","1070","Panola",8557
"G2801110","1860","Mississippi","280","Perry","1110","Perry",738
"G2801130","1860","Mississippi","280","Pike","1130","Pike",4935
"G2801150","1860","Mississippi","280","Pontotoc","1150","Pontotoc",7596
"G2801210","1860","Mississippi","280","Rankin","1210","Rankin",7103
"G2801230","1860","Mississippi","280","Scott","1230","Scott",2959
"G2801270","1860","Mississippi","280","Simpson","1270","Simpson",2324
"G2801290","1860","Mississippi","280","Smith","1290","Smith",2195
"G2801330","1860","Mississippi","280","Sunflower","1330","Sunflower",3917
"G2801350","1860","Mississippi","280","Tallahatchie","1350","Tallahatchie",5054
"G2801390","1860","Mississippi","280","Tippah","1390","Tippah",6331
"G2801410","1860","Mississippi","280","Tishomingo","1410","Tishomingo",4981
"G2801430","1860","Mississippi","280","Tunica","1430","Tunica",3483
"G2801490","1860","Mississippi","280","Warren","1490","Warren",13763
"G2801510","1860","Mississippi","280","Washington","1510","Washington",14467
"G2801530","1860","Mississippi","280","Wayne","1530","Wayne",1947
"G2801570","1860","Mississippi","280","Wilkinson","1570","Wilkinson",13132
"G2801590","1860","Mississippi","280","Winston","1590","Winston",4223
"G2801610","1860","Mississippi","280","Yalobusha","1610","Yalobusha",9531
"G2801630","1860","Mississippi","280","Yazoo","1630","Yazoo",16716
"G2900010","1860","Missouri","290","Adair","0010","Adair",86
"G2900030","1860","Missouri","290","Andrew","0030","Andrew",880
"G2900050","1860","Missouri","290","Atchison","0050","Atchison",59
"G2900070","1860","Missouri","290","Audrain","0070","Audrain",1166
"G2900090","1860","Missouri","290","Barry","0090","Barry",247
"G2900110","1860","Missouri","290","Barton","0110","Barton",21
"G2900130","1860","Missouri","290","Bates","0130","Bates",442
"G2900150","1860","Missouri","290","Benton","0150","Benton",599
"G2900170","1860","Missouri","290","Bollinger","0170","Bollinger",245
"G2900190","1860","Missouri","290","Boone","0190","Boone",5034
"G2900210","1860","Missouri","290","Buchanan","0210","Buchanan",2011
"G2900230","1860","Missouri","290","Butler","0230","Butler",52
"G2900250","1860","Missouri","290","Caldwell","0250","Caldwell",222
"G2900270","1860","Missouri","290","Callaway","0270","Callaway",4523
"G2900290","1860","Missouri","290","Camden","0290","Camden",206
"G2900310","1860","Missouri","290","Cape Girardeau","0310","Cape Girardeau",1533
"G2900330","1860","Missouri","290","Carroll","0330","Carroll",1068
"G2900350","1860","Missouri","290","Carter","0350","Carter",20
"G2900370","1860","Missouri","290","Cass","0370","Cass",1010
"G2900390","1860","Missouri","290","Cedar","0390","Cedar",211
"G2900410","1860","Missouri","290","Chariton","0410","Chariton",2839
"G2900430","1860","Missouri","290","Christian","0430","Christian",229
"G2900450","1860","Missouri","290","Clark","0450","Clark",455
"G2900470","1860","Missouri","290","Clay","0470","Clay",3455
"G2900490","1860","Missouri","290","Clinton","0490","Clinton",1144
"G2900510","1860","Missouri","290","Cole","0510","Cole",987
"G2900530","1860","Missouri","290","Cooper","0530","Cooper",3800
"G2900550","1860","Missouri","290","Crawford","0550","Crawford",182
"G2900570","1860","Missouri","290","Dade","0570","Dade",346
"G2900590","1860","Missouri","290","Dallas","0590","Dallas",114
"G2900610","1860","Missouri","290","Daviess","0610","Daviess",358
"G2900630","1860","Missouri","290","DeKalb","0630","De Kalb",137
"G2900650","1860","Missouri","290","Dent","0650","Dent",156
"G2900670","1860","Missouri","290","Douglas","0670","Douglas",0
"G2900690","1860","Missouri","290","Dunklin","0690","Dunklin",171
"G2900710","1860","Missouri","290","Franklin","0710","Franklin",1601
"G2900730","1860","Missouri","290","Gasconade","0730","Gasconade",76
"G2900750","1860","Missouri","290","Gentry","0750","Gentry",118
"G2900770","1860","Missouri","290","Greene","0770","Greene",1668
"G2900790","1860","Missouri","290","Grundy","0790","Grundy",285
"G2900810","1860","Missouri","290","Harrison","0810","Harrison",25
"G2900830","1860","Missouri","290","Henry","0830","Henry",1245
"G2900850","1860","Missouri","290","Hickory","0850","Hickory",195
"G2900870","1860","Missouri","290","Holt","0870","Holt",309
"G2900890","1860","Missouri","290","Howard","0890","Howard",5886
"G2900910","1860","Missouri","290","Howell","0910","Howell",36
"G2900930","1860","Missouri","290","Iron","0930","Iron",313
"G2900950","1860","Missouri","290","Jackson","0950","Jackson",3944
"G2900970","1860","Missouri","290","Jasper","0970","Jasper",335
"G2900990","1860","Missouri","290","Jefferson","0990","Jefferson",564
"G2901010","1860","Missouri","290","Johnson","1010","Johnson",1896
"G2901030","1860","Missouri","290","Knox","1030","Knox",284
"G2901050","1860","Missouri","290","Laclede","1050","Laclede",305
"G2901070","1860","Missouri","290","Lafayette","1070","Lafayette",6374
"G2901090","1860","Missouri","290","Lawrence","1090","Lawrence",284
"G2901110","1860","Missouri","290","Lewis","1110","Lewis",1279
"G2901130","1860","Missouri","290","Lincoln","1130","Lincoln",2840
"G2901150","1860","Missouri","290","Linn","1150","Linn",577
"G2901170","1860","Missouri","290","Livingston","1170","Livingston",605
"G2901190","1860","Missouri","290","McDonald","1190","Mcdonald",72
"G2901210","1860","Missouri","290","Macon","1210","Macon",660
"G2901230","1860","Missouri","290","Madison","1230","Madison",467
"G2901250","1860","Missouri","290","Maries","1250","Maries",64
"G2901270","1860","Missouri","290","Marion","1270","Marion",3017
"G2901290","1860","Missouri","290","Mercer","1290","Mercer",24
"G2901310","1860","Missouri","290","Miller","1310","Miller",238
"G2901330","1860","Missouri","290","Mississippi","1330","Mississippi",1010
"G2901350","1860","Missouri","290","Moniteau","1350","Moniteau",745
"G2901370","1860","Missouri","290","Monroe","1370","Monroe",3021
"G2901390","1860","Missouri","290","Montgomery","1390","Montgomery",1647
"G2901410","1860","Missouri","290","Morgan","1410","Morgan",649
"G2901430","1860","Missouri","290","New Madrid","1430","New Madrid",1777
"G2901450","1860","Missouri","290","Newton","1450","Newton",426
"G2901470","1860","Missouri","290","Nodaway","1470","Nodaway",127
"G2901490","1860","Missouri","290","Oregon","1490","Oregon",26
"G2901510","1860","Missouri","290","Osage","1510","Osage",256
"G2901530","1860","Missouri","290","Ozark","1530","Ozark",43
"G2901550","1860","Missouri","290","Pemiscot","1550","Pemiscot",268
"G2901570","1860","Missouri","290","Perry","1570","Perry",739
"G2901590","1860","Missouri","290","Pettis","1590","Pettis",1882
"G2901610","1860","Missouri","290","Phelps","1610","Phelps",84
"G2901630","1860","Missouri","290","Pike","1630","Pike",4055
"G2901650","1860","Missouri","290","Platte","1650","Platte",3313
"G2901670","1860","Missouri","290","Polk","1670","Polk",512
"G2901690","1860","Missouri","290","Pulaski","1690","Pulaski",56
"G2901710","1860","Missouri","290","Putnam","1710","Putnam",31
"G2901730","1860","Missouri","290","Ralls","1730","Ralls",1791
"G2901750","1860","Missouri","290","Randolph","1750","Randolph",2619
"G2901770","1860","Missouri","290","Ray","1770","Ray",2047
"G2901790","1860","Missouri","290","Reynolds","1790","Reynolds",38
"G2901810","1860","Missouri","290","Ripley","1810","Ripley",78
"G2901830","1860","Missouri","290","St Charles","1830","St Charles",2181
"G2901850","1860","Missouri","290","St Clair","1850","St Clair",574
"G2901860","1860","Missouri","290","Ste Genevieve","1860","Ste Genevieve",617
"G2901870","1860","Missouri","290","St Francois","1870","St Francois",877
"G2901890","1860","Missouri","290","St Louis","1890","St Louis",4346
"G2901950","1860","Missouri","290","Saline","1950","Saline",4876
"G2901970","1860","Missouri","290","Schuyler","1970","Schuyler",39
"G2901990","1860","Missouri","290","Scotland","1990","Scotland",131
